UUID,Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London,Date,Link,Identification- DOI/URL/ISBN/Reference no.,Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Partnership,Policy Sources////Citations ( from Overton),Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes),Funder 1,Funder 2,Funder 3,Source,Output type
2e214f9b556dad99f920c4f47650a9e3,Assessing heat vulnerability in London care settings: case studies of adaptation to climate change,Assessing heat vulnerability in London care settings,London,2020,https://discovery.ucl.ac.uk/id/eprint/10128385/,https://publications.ibpsa.org/proceedings/bso/2020/papers/bso2020_Oikonomou.pdf,"Eleni Oikonomou 
Anna Mavrogianni 
Nilesh Jain 
Rajat Gupta
Paul Wilkinson
Alastair Howard
Ai Milojevic
Mike Davies ","Paul Wilkinson
Ai Milojevic
London School of Hygiene and Tropical Medicine, Keppel St, London WC1E 7HT (51.521037587492934, -0.13024792885548608)","Rajat Gupta
Alastair Howard
Low Carbon Building Research Group, School of Architecture, Oxford Brookes University, Headington Rd, Headington, Oxford OX3 0BP (51.75506260978898, -1.2242334060592617)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"This pilot study aims at testing methods to assess heat vulnerability in London care homes and develop overheating reduction strategies to mitigate temperature exposure and the associated negative health impacts under the warming climate, with a view to scaling up the project on a national scale. It undertakes feasibility work to identify possible causes of overheating across a range of care home types and evaluate the current and future potential of indicative passive solutions. The summertime thermal environments of five case study care homes were monitored and their physical, technical and occupancy profiles were established through surveys. The data was inputed in the EnergyPlus V8.9 dynamic thermal simulations via the DesignBuilder Graphical User Interface. Future overheating risks and their reduction potential through the use of passive strategies were tested under a set of representative climate change scenarios, during a five-day heatwave period. The dynamic thermal simulation analysis indicated that older buildings with higher heat loss and thermal mass capacities are likely to benefit more from the application of high albedo materials rather than external shading methods, whereas newer and highly insulated buildings seem to benefit more from higher ventilation rates and appropriate external shading systems. Night ventilation emerged as the single most impactful passive technique for all building types. This feasibility work has developed novel methods, knowledge and insights that will be helpful in understanding how to enable care settings in the UK to become resilient to rising heat stress. This is one of the first systematic attempts to build a set of dynamic thermal models of care homes in the UK.","1. Paul Wilkinson 
Ai Milojevic 
2. DesignBuilder Software Ltd (51.745097,-2.218907)
3. Innovate UK KTP (51.535509,-0.105346)","1. Public Health, Environments and Society, London School of Hygiene & Tropical Medicine, London, UK
(51.520925,-0.130687)
2. DesignBuilder Software Ltd (51.745097,-2.218907)
3. UCL and Innovate UK KTP (51.535509,-0.105346)","1. Co-authorship with academic partner(s)
2. Collaborator
3. Collaborator",,,Co-authorship with academic partner(s),Collaborators,Collaborators,Co-authorship with other partner(s),Health,Natural Environment Research Council (NERC),,,Discovery,
03ec0099f63327996b33f52e57b4a184,Capturing the diversity of household window operation behaviour: Lessons from a monitoring campaign in London,The diversity of household window operation behaviour,"East London (51.5432402,-0.0493621)",2020,https://discovery.ucl.ac.uk/id/eprint/10111818/,https://discovery.ucl.ac.uk/id/eprint/10111818,"Yan Wang 
Farhang Tahmasebi
Elizabeth Cooper
Samuel Stamp
Esfandiar Burman 
Dejan Mumovic ",,,"Bartlett School of Environment, Energy and Resources","The present study benefits from a field monitoring campaign across 18 flats in London to analyse the operation of windows by occupants and pinpoint the driving factors. The dataset covers an extensive set of environmental parameters including indoor and outdoor air temperature, relative humidity, CO2, PM2.5 and PM10 collected over non-heating and heating seasons. Focusing on three questions, this study a) captures the diversity of window operation across the flats using three metrics, b) identifies and ranks the driving factors behind the operation of windows, and c) discusses the diversity of these driving factors using univariate logistic regression models. Notably, the results suggest that, apart from the commonly studied factors such as air temperature and humidity, pollutant parameters can also explain the operation of windows by occupants. Furthermore, the diversity observed in the occupants’ window operation behaviour and its driving factors discourages the reliance of future modelling efforts on aggregated datasets that can suppress the inter-occupant diversity. More efforts are needed to further explore the potential benefits of the inclusion of the captured behavioural diversity information in occupant behaviour models for building performance simulations.",,,,,,,,,,Construction and Engineering ,,,,Discovery,
8fc02debd6a2ea56b317f76ccb59dee6,The spatial morphology of synagogue visibility as a measure of Jewish acculturation in late nineteenth-century London,The spatial morphology of synagogue visibility and Jewish acculturation,"Brothers of Konin  (51.52029800415039,-0.07090230286121368)
Cannon Street Road Synagogue  ( 51.5110368,-0.0872455)
Chevra Shass (51.5175523,-0.069233)
Chevra Torah (51.50489044189453,0.11485660076141357)
Crawcour Synagogue (51.5172112,-0.0668862)
Fieldgate Street Synagogue (51.5172175,-0.0655343)
Great Garden Street Synagogue (51.5166567,-0.0445491)
Greenfield Street Synagogue (51.56343078613281,-0.2062431126832962)
House of David United Brethren Chevra (51.5170316,-0.0645452)
Limciecz Synagogue (51.4922212,0.0610061)
Mile End New Town Synagogue (51.513,-0.0618)
New Hambro (51.5123701,-0.0793661)
Plotsker (51.515555,-0.070056)
The Brethren of Suwalki Synagogue (51.5201875,-0.0709915)
Central Synagogue (51.523789,-0.143961)
The Western Synagogue (51.515052,-0.159075)
West End Talmud Torah (51.5160487,-0.1345618)
West London Synagogue (51.5151458,-0.1620383)",2019,https://discovery.ucl.ac.uk/id/eprint/10088297/7/Vaughan_Urban%20Morphology%20synagogues%20pre-publication.pdf,https://doi.org/10.51347/jum.v24i2.4092,Laura Vaughan,,,Bartlett School of Architecture,"This paper’s historical focus is the latter two decades of nineteenth-century London. During this period the established Jewish community of the city benefited from political emancipation, but this was not the case for the recently arrived impoverished Jewish migrants from Eastern Europe. The spatial constitution of religious practice also differed across the city: in a study of two sample areas, one in the more prosperous West End which, other than an isolated case in the impoverished district of Soho, had purpose-built buildings fronting the street; and another in an area of Whitechapel, in the East End, which was dominated by smaller ad hoc arrangements – one-room or adapted premises, shtiebels – serving a wider communal and social purpose, similar to the practice of the old country. A comparative space syntax isovist analysis of the visibility of synagogue façades from surrounding streets found that while, in the West End, most synagogues had a limited public display of religious practice by this time, East End prayer houses remained visible only to their immediate, Jewish majority surroundings. The paper proposes that the amount of synagogue-street visibility corresponds to the stage of growth in both social acculturation and political confidence.",,,,,,,,,,Social Sciences and Humanities,,,,Discovery,
423a0a9488b1386932622d19383d441d,Visualising manufacturing activity in London,Visualising manufacturing activity,London,2020,https://discovery.ucl.ac.uk/id/eprint/10105882/1/GISRUK2020_paper_38.pdf,https://discovery.ucl.ac.uk/id/eprint/10105882/1/GISRUK2020_paper_38.pdf,"Nicolas Palominos (Centre for Advanced Spatial Analysis (51.521981,-0.136035))

Sam Griffiths (Bartlett School of Architecture, University College London, Gower Street, London (51.53820340184632,-0.01000212278972401))

Francesca Froy (Bartlett School of Architecture, University College London, Gower Street, London (51.53820340184632,-0.01000212278972401))

Jessica Ferm (The Bartlett School of Planning, University College London, UK (51.5268702,-0.1298614))",,,,"A series of urban manufacturing data sets are integrated on an interactive map tool to explorevtheir relationships with urban form at multiple scales in London. Despite the limitations of resolution of the underlying data, this tool proved to be a contribution for the exploration of manufacturing data often not scrutinised at a fine-grained scale. The study offers insights for further defining contemporary urban manufacturing and understanding the spatialand economic implications of industrial land displacement and mixed-use planning in relation to the urban structure.","Greater London Authority (GLA)
AECOM ",,Data support,,,Data Support ,,,,Planning and Policy,UCL Bartlett Synergy Grant,,,Discovery,
124261c2c756171c8ef733576366454d,A Tale of Two Cities: Framing urban diversity as content curation in London and Toronto,Framing urban diversity as content curation in London and Toronto,London,2020,https://discovery.ucl.ac.uk/id/eprint/10100972/,https://doi.org/10.5130/ccs.v12.i1.6835,"Mike Raco 
Tuna Tasan-Kok",,"Tuna Tasan-Kok
University of Amsterdam, 1012 WP Amsterdam, Netherlands (52.35596888386697, 4.955715569322525)",Bartlett School of Planning,"In major cities across the world policy-makers are searching for new ways to represent and govern their increasingly diverse populations. In this paper we analyse the ways in which authorities in two global cities, London and Toronto, have drawn on corporate, public management, strategies as their principal mode of diversity governance. In both we see a shift in policy making as a conscious attempt to reframe and re-imagine cities as corporate-like structures that can be conceptualised, represented, and managed through the lens of diversity management. In both cities specific representations of the city and its populations are curated to fulfil wider policy objectives. City governments present both as iconic centres of diversity, super-diversity or hyper-diversity, that embody and represent an era of progressive globalisation and new forms of contemporary cosmopolitan living. The presence of diversity is celebrated and seen a key component of ‘success agendas’. This paper is based on empirical evidence derived from a policy-oriented research project in both cities. Policy analysis and critical discourse analysis are conducted in both cities on the basis of review of policy documents at national, local and community scales, and interviews with policy makers. The paper first frames diversity as a technology of description, where we explain how diversity has become a curation strategy in public management within the framework of growing mobility of management frameworks and shifts in framing diversity in urban policies. We will then provide a comparative analysis of London and Toronto.",,,,,,Co-authorship with other partner(s),,,,Planning and Policy,EU Seventh Framework Programme,,,Discovery,
a9273297bedfaaedd781ee76b21f22d4,Governing the Circular Economy in the City: Local Planning Practice in London,Governing the Circular Economy in the City,London,2020,https://discovery.ucl.ac.uk/id/eprint/10089821/3/Turcu_&%20Gillie%2020202%20(CE%20Accepted%20Paper).pdf,https://doi.org/10.1080/02697459.2019.1703335,"Catalina Turucu 
Hannah Gillie ",,,Bartlett School of Planning,"There is interest in the circular economy as a framework for transition from a linear take-make-dispose model of production and consumption, to a circular model which decouples economic growth from resource consumption. However, there is limited understanding of how that applies to the city through governance lens. This paper examines evidence from 28 municipalities in London to unpack the ‘government’ and ‘governance’ of circular economy in the city. It examines the ‘governmentality’ of circular economy in planning practice and reflects on what austerity localism and scalar politics might mean for the planning and governance of circular economy in cities.",,,,Aggregator,"Analysis & Policy Observatory 
Stockholm Envrionment Institute",,,,,Planning and Policy,,,,Discovery,
e0b486ec1cc6018a58dcd2199803c70b,Rethinking prosperity: Perspectives of young people living in East London,Rethinking prosperity: Perspectives of young people,"East London (51.5432402,-0.0493621)",2020,https://www.ucl.ac.uk/bartlett/igp/publications/2022/feb/rethinking-prosperity-perspectives-young-people-living-east-london,10.14324/000.wp.10100056,"Hannah Sender
Mohammed Abdussamad 
Luke Billingham
Jordan Isaacs
Daniel Ocitti","Luke Billingham
Jordan Isaacs
Daniel Ocitti
Hackney Quest
51.543399,-0.045803",,UCL Institute for Global Prosperity,"In this paper, we argue that prosperity is understood and experienced in different ways by different age groups. Young people are typically less involved in research about their prosperity than adults. Their views and experiences are therefore less likely to be considered in policy decisions than adults’. However, young people – and particularly adolescents between 14-24 years old – are significantly affected by societal transformation, and are capable of reflecting on and responding to that transformation. We outline a study conducted with young people in Hackney who are mostly in mid-adolescence (between 14-17 years old). Hackney is a borough in east London which has undergone significant social and economic transformation. We draw out the main factors which young people said influenced their ability to live a good life in Hackney and discuss their views of the London Prosperity Index. We argue that there are structural differences and value differences which affect how young people understand prosperity, and which impact their capacity to lead a good life in places which are changing significantly. We conclude by establishing the need for a Youth Prosperity Index, to complement the Prosperity Index and related indexes, which focus on adults’ experiences and values. The research which informed this paper was funded by a UCL Beacon Bursary.",Hackney Quest,"51.543399,-0.045803",,,,Co-authorship with industry partner(s),,,,Social Sciences and Humanities,,,,Discovery,
61970adba4aea790972835e4edc83281,Building stock energy modelling in the UK: the 3DStock method and the London Building Stock Model,Building stock energy modelling in the UK,London,,https://journal-buildingscities.org/articles/10.5334/bc.52,https://doi.org/10.5334/bc.52 ,"Philip Steadman
Stepgen Evans
Rob Liddiard
Daniel Godoy-Shimizu
Paul Ruyssevelt
Dominic Humphrey ",,,"Bartlett School of Environment, Energy and Resources","A brief history is provided of models of energy use in the UK building stock, with the focus on the non-domestic sector. This history leads to an account of the development, since 2009, of the 3DStock method for modelling complete building stocks, both domestic and non-domestic. The paper explains how 3DStock models are built and the data sources used. Special emphasis is placed on the relationship of premises (the floorspace occupied by organisations) to buildings. Energy use may be metered at the level of premises, buildings or groups of buildings. Representing the patterns in which premises relate to buildings is therefore crucial to the modelling process, and in particular to the precise measurement of energy intensities. Applications of 3DStock models in building science and policy tools are reviewed, including the London Building Stock Model (LBSM), delivered to the Greater London Authority (GLA) in 2020. This ‘digital twin’ can be used for the monitoring, simulation and analysis of the building stock. Implications for research and policy are discussed, particularly for energy epidemiology, density, high-rise buildings, retrofit potential, energy-use intensity and benchmarking. Data are in place to extend 3DStock modelling to the whole of England and Wales. / Policy and practice relevance: The models can be used to assess energy demand in large numbers of buildings in relation to a range of variables, including built form, age, construction and activities. Poorly performing buildings can be identified, and the potential for retrofit—including renewable technology installations—evaluated using the same variables plus information contained in Energy Performance Certificates (EPCs). Policies for addressing fuel poverty can be evaluated by making links to confidential socioeconomic data on occupants. In conjunction with a dynamic building energy-simulation tool, scenarios can be investigated for retrofit, the potential for renewables and issues in demand-side management. Additional uses are in the precise measurements of density and of the three-dimensional character of the urban fabric. There could be applications in public health, the modelling of indoor and outdoor air pollution, and the tracking of material flows. 3DStock models might also be integrated with digital twins of infrastructure systems and networks.",Agnieszka Griffin at the Greater London Authority (GLA),"51.507495,0.016223",,"Think tank
Governemnt","CREDS
Royal Society
UK Parliament Select Committee Publications",Data Support ,,,,Technology and Computation ,Engineering & Physical Sciences Research Council (EPSRC),,,Discovery,
3c09dc5e58c01234301bde35df60b9b9,Exploring local authority travel time to London effects on spatio-temporal pattern of local authority house prices variation in England,Local authority travel time to London effects on house prices variation,London,2020,https://discovery.ucl.ac.uk/id/eprint/10107563/,ISSN 1467-1298,"Bin Chi
Adam Dennett
Robin Morphet
Chris Hutchinson","Bin Chi 
Department of Geography, University College London (51.523919,-0.12895)
 
Chris Hutchinson 
Centre for the Study of the Legacies of British Slavery (51.54641797744119,-0.040935843785126116)",,Bartlett Centre for Advanced Spatial Analysis,"The spatial and temporal diffusion of house prices has been investigated at regional level in England, with London and the South East playing a leading role in terms of spillovers to other regions. High house prices in London not only increase neighbouring house prices but also force workers to live outside London and commuting in. To better understand this London effect, this research aims to explore the effect of travel time to London on house price variation across England. We conducted this research at local authority level rather than region level to offer a clearer insight into the relationship between house price variation and travel time to London, concentrating especially on the period post the 2008 financial crisis. Results show that local authorities with shorter travel tomes to London generally have greater house prices increases, but with some exceptions. The majority of local authorities within 75 minutes travel time to London had a high house price increase between 2009 and 2016. This underlies the London ripple effect and is reinforced by the high proportion of workers commuting to London.","Chris Hutchinson 
Louisa Bainbridge","Centre for the Study of the Legacies of British Slavery (51.54641797744119,-0.040935843785126116)

TravelTime Platform https://www.traveltimeplatform.com ","Co-authorship with academic partner(s)
Data support",,,Co-authorship with academic partner(s),Data Support ,,,Planning and Policy,,,,Discovery,
d270f30b9113eb18b1384a501d2d20fa,"What individual and neighbourhood-level factors increase the risk of heat-related mortality? A case-crossover study of over 185,000 deaths in London using high-resolution climate datasets",Individual and neighbourhood-level factors & the risk of heat-related mortality,London,2019,https://pubmed.ncbi.nlm.nih.gov/31726356/,0.1016/j.envint.2019.105292,"Peninah Murage 
Sari Kovats 
Christophe Sarran
Jonathon Taylor
Rachel Mclnnes
Shakoor Hajat ","Peninah Murage 
Sari Kovats 
Shakoor Hajat
HPRU in Environmental Change and Health, London School of Hygiene and Tropical Medicine, London (51.525448,-0.12671)","Christophe Sarran
Rachel Mclnnes
Met Office, Fitzroy Rd, Exeter EX1 3PB (50.72732390143138, -3.475447088398998)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"OBJECTIVE: Management of the natural and built environments can help reduce the health impacts of climate change. This is particularly relevant in large cities where urban heat island makes cities warmer than the surrounding areas. We investigate how urban vegetation, housing characteristics and socio-economic factors modify the association between heat exposure and mortality in a large urban area. METHODS: We linked 185,397 death records from the Greater London area during May-Sept 2007–2016 to a high resolution daily temperature dataset. We then applied conditional logistic regression within a case-crossover design to estimate the odds of death from heat exposure by individual (age, sex) and local area factors: land-use type, natural environment (vegetation index, tree cover, domestic garden), built environment (indoor temperature, housing type, lone occupancy) and socio-economic factors (deprivation, English language, level of employment and prevalence of ill-health). RESULTS: Temperatures were higher in neighbourhoods with lower levels of urban vegetation and with higher levels of income deprivation, social-rented housing, and non-native English speakers. Heat-related mortality increased with temperature increase (Odds Ratio (OR), 95% CI = 1.039, 1.036–1.043 per 1 °C temperature increase). Vegetation cover showed the greatest modification effect, for example the odds of heat-related mortality in quartiles with the highest and lowest tree cover were OR, 95%CI 1.033, 1.026–1.039 and 1.043, 1.037–1.050 respectively. None of the socio-economic variables were a significant modifier of heat-related mortality. CONCLUSIONS: We demonstrate that urban vegetation can modify the mortality risk associated with heat exposure. These findings make an important contribution towards informing city-level climate change adaptation and mitigation policies.","Peninah Murage 
Sari Kovats 
Shakoor Hajat","HPRU in Environmental Change and Health, London School of Hygiene and Tropical Medicine, London (51.525448,-0.12671)",Co-authorship with academic partners,"Healthcare Agency 
Legislative Research 
IGO 
Aggregator 
Think tank","Australian Institute of Health and Welfare
Analysis & Policy Observatory
EASAC
The UK Government
IAP
Royal Society
Santé Publique France
UK Parliament Research Briefings
UK Parliament Select Committee Publications
World Health Organization",Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Health,National Institute for Health Research (NIHR),,,Discovery,
c1c2eab3a8fb723311332118cf554b4e,The long after-life of Christopher Wren's short-lived London plan of 1666,Christopher Wren's London plan of 1666,London,2018,https://discovery.ucl.ac.uk/id/eprint/10081417/1/Hebbert_PP%20Wren%20ms_.pdf,https://doi.org/10.1080/02665433.2018.1552837,Michael Hebbert,,,Bartlett School of Planning,"Immediately after the 1666 Great Fire, Christopher Wren sought to persuade King Charles II to rebuild London according to the best principles of baroque urbanism, with wide straight streets, axial symmetry, monumental endpoints, and a waterfront with open quays. The plan was quickly rejected as impracticable and Wren’s creative energy went into the design of St Paul’s Cathedral and more than fifty parish churches. But his scheme was memorialized by his son and grandson as a scandal of lost opportunity, a noble vision ‘unhappily defeated by faction’. Widely reproduced by print-makers, it gained iconic status, influencing street improvement in eighteenth-century London, nineteenth-century public health reform, late-Victorian advocacy of municipal autonomy, and twentieth-century planning controversies including the Paternoster Square redevelopments of 1955 and 2000. The paper shows how archival research disproving the received narrative of Wren’s plan opened the way for different understandings both of the planning legacy of reconstruction after the Great Fire, and of his own accomplishments as a Renaissance architect working within a mediaeval street plan.",,,,,,,,,,Social Sciences and Humanities,,,,Discovery,
7a1acecae7793672c9f0c4e9b5ee90b5,Can a Park Save the City?: Hopes and Pitfalls of the London National Park City,Hopes and Pitfalls of the London National Park City,"London National Park City (51.514316,-0.104957)",2020,https://discovery.ucl.ac.uk/id/eprint/10148805/,10.4467/20843860PK.20.037.12841,Konrad Miciukiewicz ,,,UCL Institute for Global Prosperity,"This article enquires into the transformative potential of the London National Park City. In doing so it situates the vision for, the becoming, and the Charter of an urban national park in relational thinking about metropolitan nature and sustainable urbanisation. It looks at hopes and pitfalls of the London National Park City in the face of growing socio-environmental injustice and the climate crisis. First, the article explores the National Park City as a form of ecological reflexivity and social practice in the context of relational concepts of nature and the city. Second, it examines opportunities offered by the Park City with respect to urban environmental sustainability, health and wellbeing, connected diversity, socio-economic inclusion and political agency. Third, it looks at pitfalls of the National Park City relating to environmental gentrification, as well as to trade-offs between grassroots creativity and capability to bring about material change. Last but not least, the article advocates for negotiation of synergies between ‘green’ and ‘grey’ urban natures as a strategy to address the climate crisis.",,,,,,,,,,Planning and Policy,,,,Discovery,
d289b5770864162cf1d5b4fc47ed96e6,"The expansion and remodelling of the London Hospital by Rowland Plumbe, 1884–1919",The expansion and remodelling of the London Hospital ,"London Hospital by Rowland
Plumbe (51.518702,-0.060138)",2019,https://discovery.ucl.ac.uk/id/eprint/10068052/,https://doi.org/10.1080/03058034.2019.1583455,Amy Smith ,,,Bartlett School of Architecture,"The remodelling and enlargement of the London Hospital between 1884 and 1919 by the architect Rowland Plumbe modernized one of the largest general hospitals in Britain. The work almost entirely concealed the mid eighteenth-century core of the hospital and extended its footprint beyond its immediate grounds, creating a sprawling medical complex on the south side of Whitechapel Road. The transformative effect of Plumbe’s work was centred on procuring sanitary and functional interiors. During an association that spanned thirty-five years, Plumbe designed well-ventilated wards, bright operating theatres, and highly specialized departments. Nurses’ homes were planned to preserve discipline and respectability, forming a cluster of tall dormitory blocks connected by covered bridges. This essay, based on research for the Survey of London, considers the medical expertise, organizational principles and social values that shaped a complicated building programme to upgrade an historic infirmary into a hygienic, well-supervised and efficient hospital complex.",,,,,,,,,,Design,,,,Discovery,
959d4fb03b75ee1f0e2700b648e9c171,Visualising urban gentrification and displacement in Greater London,Visualising urban gentrification and displacement,London,2019,https://discovery.ucl.ac.uk/id/eprint/10091962/,https://doi.org/10.1177/0308518X1988021,"Yuerong Zhang 
Karen Chapple 
Mengqui Cao 
Adam Dennett 
Duncan Smith","Mengqui Cao
School of Architecture and Cities,
University of Westminster, 35 Marylebone Road, London, NW1 5LS, UK (51.522499463459454, -0.15516838839364727)","Karen Chapple
College of Environmental Design, University of California, 230 Bauer, Wurster Hall, Berkeley, CA 94720, United States (37.870904558145305, -122.25485058689803)",Bartlett School of Planning,"Gentrification has long been a contentious issue which has prompted debate among scholars due to variations in its location, timing, context and types of measurements used. Therefore, it is worth seeking a simple and effective approach to measure the processes of gentrification, which enables comparative studies to be conducted across different cities around the world. Using six sets of thematic data from 2001 and 2011 at the neighbourhood level, this study proposes five types of gentrification and displacement by using Chapple and Zuk’s theoretical framework. London was selected as a case study. The results show that gentrification was sweeping in many ways during the 2000s in London, particularly in Inner East London. Some areas in North West London are identified as vulnerable neighbourhoods at risk of displacement and gentrification. Furthermore, it was found that most of the neighbourhoods experiencing ongoing displacement are concentrated in Outer London and Inner South London. The typology provides a useful starting point for planners and policymakers to gain deeper insights into the progress of gentrification in London. Additionally, this work can serve as an example to illustrate the potential for using similar types of open source code and census data to estimate the degree of gentrification in other cities.",,,,,,Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Planning and Policy,,,,Discovery,
46ee0085c24437c9e3ef3057ffa90531,Banning Diesel Vehicles in London: Is 2040 Too Late?,Banning Diesel Vehicles in London: Is 2040 Too Late?,London,2019,"https://discovery.ucl.ac.uk/id/eprint/10092174/#:~:text=The%20results%20also%20showed%20that,the%20ban%20well%20before%202040.",https://doi.org/10.3390/en12183495 ,"Moayad Shammut
Mengqui Cao 
Yuerong Zhang 
Claire Papaix
Yuqi Liu
Xing Gao ","Mengqui Cao
School of Architecture and Cities,
University of Westminster, 35 Marylebone Road, London, NW1 5LS, UK (51.522499463459454, -0.15516838839364727)","Moayad Shammut
School of People, Environment and Planning, Massey University, Palmerston North 4442, New Zealand (-40.38838257867541, 175.62023568463917)

Claire Papaix
Department of Systems Management and Strategy, University of Greenwich, London SE10 9LS, UK (51.4801460988969, -0.008554099287171315)

Yuqi Liu
Department of Social Work and Social Administration, The University of Hong Kong, Hong Kong 999077, China (22.283498880262478, 114.1345200821398)",Bartlett School of Planning,"Air pollution contributes to 9400 deaths annually in London and diesel vehicles are considered a major source of lethal air pollutants. Consequently, the UK government announced its intention to ban diesel vehicles by 2040 to achieve a sustainable zero-carbon road transport system. Since no empirical studies have used a bottom-up approach to seek Londoners’ views, it is therefore worth investigating the public opinion regarding this forthcoming ban. This paper aims to fill this research gap by taking London as a case study. A survey was designed, and fieldwork was conducted to distribute questionnaires to Londoners. Completed questionnaires were analysed using both quantitative and qualitative methods. The findings revealed that the majority of Londoners would be in favour of the ban if they were sufficiently exposed to the appropriate sources of information and were favourably disposed towards environmental protection measures. The results also showed that Londoners were more likely to switch to electric vehicles (EVs) if they were offered generous incentives and encouraged to use scrappage schemes. The present study makes a strong case for enforcing the ban well before 2040. The significance of this research is to provide clearer signals regarding the future of diesel vehicles, which in turn will strengthen the EV policy and uptake.","Mengqiu Cao 
","1. School of Architecture and the Built Environment,
University of Westminster, 35 Marylebone Road, London, NW1 5LS, UK (51.522499463459454, -0.15516838839364727)
",Co-authorship with academic partners,Government,"The UK Government 
Oficina de Ciencia y Tecnología del Congreso de los Diputados",Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Sustainability ,,,,Discovery,
9c3bc0df28decc7c5638f0cc53cc0e7b,Modelling the Influence of Layout On Overheating Risk of London Flats,The Influence of Layout On Overheating Risk of Flats,"Acton (51.5081402,-0.2732607)
Fulham (51.474408,-0.206809)
Chelsea (51.4875167,-0.1687007)
City of Westminster (51.497283935546875,-0.13725890219211578)
Islington (51.5384287,-0.0999051)
Hackney (51.5432402,-0.0493621)
Silvertown (51.5013626,0.0385185)",,https://discovery.ucl.ac.uk/id/eprint/10102656/,10.26868/25222708.2019.210891,"Andrea Lorena Vallejo Espinosa 
Phil Symonds 
Giorgos Petrou",,,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"An analysis of overheating levels corresponding to building morphology yielded the modelling uncertainty due to the geometry and layout of two-bedroom flats in London, England. A new method is introduced, which collates information on various flat layouts in the current London housing stock. To ensure an unbiased sample was selected, dwellings were chosen randomly, yielding twelve flats in and around inner London. Dynamic thermal simulations were performed using EnergyPlus to determine individual dwellings’ overheating risk. The results described the influence of geometry and layout configuration on overheating risk, which has rarely been analysed in previous studies. Irregular façades led to higher overheating levels in the set-back part of the building. Default configurations were used to model basecase archetypes, with further simulations performed to study the effects of orientation, ceiling heights and window glazing fractions. Compared with these factors, bigger differences between mean operative temperatures of flats were due to layout, with 3.5 °C in bedrooms, 1.5 °C in living rooms and 2.2 °C in kitchens.",,,,,,,,,,Sustainability ,National Institute for Health Research (NIHR),,,Discovery,
78acb16a2d4a2bf026b58a698e57455f,"Design and operational strategies for good Indoor Air Quality in low-energy dwellings: performance evaluation of two apartment blocks in East London, UK",Strategies for good Indoor Air Quality in low-energy dwellings,"London Borough of Tower Hamlets  (51.51444744240509,-0.034171610908166894)",2018,https://discovery.ucl.ac.uk/id/eprint/10054611/,https://discovery.ucl.ac.uk/id/eprint/10054611,"Esfand Burman 
Clive Shrubsole 
Samuel Stamp
Dejan Mumovic 
Michael Davies ",,,"Bartlett School of Environment, Energy and Resources","To achieve stringent energy objectives, new dwellings are subject to energy conservation measures including low air permeability and high levels of insulation. Mechanical Ventilation with Heat Recovery (MVHR) can be used to control the balance between energy efficiency and Indoor Air Quality (IAQ) in these buildings. This paper evaluates the effectiveness of the design and operational strategies adopted in a new development comprising two apartment blocks in East London. The findings point to significant gaps in operational energy use compared against design projections, and high concentrations in benzene and formaldehyde three years after construction. It is suggested that a combination of internal source control measures at design stage and building fine-tuning in early stages of post-occupancy is necessary to close the performance gap in energy and IAQ.",,,,,,,,,,Construction and Engineering ,Engineering & Physical Sciences Research Council (EPSRC),,,Discovery,
