Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London ,Date,Link,Identification- DOI/URL/ISBN/Reference no.,  Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Policy Sources////Citations ( from Overton) ,Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes) ,Funder 1,Funder 2,Funder 3,Source,Output type
No limites to imagining London's future,No limites to imagining London's future,London,2013,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.ubiquitypress.com/site/chapters/10.5334/bag.w/download/94/&ved=2ahUKEwiDzbqQ6cSHAxWAX0EAHQalCYQQFnoECBsQAQ&usg=AOvVaw1dQw_5lCSCFacQEGnOZsV9,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.ubiquitypress.com/site/chapters/10.5334/bag.w/download/94/&ved=2ahUKEwiDzbqQ6cSHAxWAX0EAHQalCYQQFnoECBsQAQ&usg=AOvVaw1dQw_5lCSCFacQEGnOZsV9,"Rydin YJ, Myerson G",,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)",,,,,,,,,,,,,,RPS,Chapter
"MAM (MARCOSANDMARJAN),, London UK",MAM (MARCOSANDMARJAN),London,2000,http://marcoscruzarchitect.blogspot.com/2008/12/marcosandmarjan.html,http://marcoscruzarchitect.blogspot.com/2008/12/marcosandmarjan.html,"Cruz M, Colletti M",,,"Bartlett School of Architecture (51.525972,-0.132386)",Marcosandmarjan design research published as part of the Chernikhov shortlist.,,,,,,,,,,,,,RPS,Chapter
"Placing the Digital Economy: the Spatiality of Work in ‘Tech City’, London","The Spatiality of Work in ‘Tech City’, London",London,2014,https://discovery.ucl.ac.uk/id/eprint/1455943/,https://discovery.ucl.ac.uk/id/eprint/1455943/,Borowczyk Martins J,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","In the past 20 years, a wealth of literature and policy initiatives have focused on ‘creative cities’ and ‘clusters’, the ‘creative class’, and ‘creative industries’. These debates are associated with two parallel developments: First, the reassessment of space in the (global) economy and the ‘rediscovery of the city’ that took place from the 1980s onwards in several fields of academic enquiry (Amin and Graham, 1997). This work challenged earlier predictions (Toffler, 1980) that questioned the importance of space in economic, social, and work relationships in face of technological and economic transformations. Second, changes in cultural and local economic policy, which became increasingly intertwined and brought culture “to the centre of policy- making as a potential economic resource” (O’Connor, 2010, 31). Policies initially focused on flagship cultural projects and city marketing and later developed into strategies aiming at fostering creative cities or clusters. Scholarship and policy on these issues, however, stem from distinct conceptual and empirical bases (Landry and Bianchini, 1995; Florida, 2002; 2005; Pratt, 2011) suggesting that ‘the nature of the relationship between the creative economy and the city, in real or aspirational governance terms, is far from settled’ (Pratt and Hutton, 2013, 92).",,,,,,,,,,,,,RPS,Chapter
"Concrete as Conduit of Experience at the Brunswick, London","Concrete as Conduit of Experience at the Brunswick, London","Brunswick (51.524, -0.124)",2006,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203013625-17/concrete-conduit-experience-brunswick-london-clare-melhuish,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203013625-17/concrete-conduit-experience-brunswick-london-clare-melhuish,Melhuish C,,,"UCL Urban Laboratory (51.52537536621094,-0.13254199922084808)","The public and critical reception of the Brunswick Centre is closely bound up with the materials of its construction. This distinctive mixed-use development, built in Bloomsbury during the 1960s and finished in 1973, was hailed as a pioneering example of a low-rise, high-density approach to urban renewal. But it is the ‘concrete-ness’ of this grand architectural intervention which seems to have impinged upon the public consciousness more than almost anything else about it, inspiring some less than complimentary epithets – ‘concrete monstrosity’, ‘concrete jungle’, ‘Alcatraz’, and so on – but also, from other quarters, unabashed admiration. The critic Theo Crosby wrote that it was, quite simply, ‘the defiance
of new concrete set in one of the most consistent brick environments in London [which] makes the project interesting as an urban adventure and worthy of analysis’,1 and it was this appraisal, among others, that eventually led to the listing of the building by English Heritage in 2000, in order to ensure its protection and preservation for posterity as an architectural production of remarkable vision, accomplishment and significance to the nation’s heritage.",,,,,,,,,,,,,RPS,Chapter
Hydro-urbanism in London: Using coevolutionary actor-network theory as a prospective methodology,Hydro-urbanism in London,London,2016,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315714882-16/hydro-urbanism-london-tse-hui-teh,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315714882-16/hydro-urbanism-london-tse-hui-teh,Teh T,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This chapter describes a methodological case study showing how a co-evolutionary Actor Network Theory (ANT) has been applied to research that explores possible reconfigurations of water infrastructure in London. It discusses how the theoretical framework and methodology of this research could be further extended and applied to other planning concerns. The two key elements of ANT that have been used in this case study are the idea that all phenomena in the world are composed of a network of relationships between human and non-human actants; and that there are five stages to network formation. The five stages of network formation are problematization, interessement, enrolment, mobilization and stabilization. The water system of London is a mostly stable set of network relations. For example, this research uses the problematization of water scarcity in London. It starts with a specific understanding of how material and human relationships currently exist in London. It then problematizes these relationships through a water scarcity scenario.",,,,,,,,,,,,,RPS,Chapter
"Public Space, austerity and innovation (the London case)","Public Space, austerity and innovation",London,2020,https://www.taylorfrancis.com/chapters/edit/10.4324/9781351002189-11/public-space-austerity-innovation-london-case-matthew-carmona,https://www.taylorfrancis.com/chapters/edit/10.4324/9781351002189-11/public-space-austerity-innovation-london-case-matthew-carmona,Carmona MP,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","Through an overview of the period 2008 to 2018, this chapter reflects on the impact of the austerity years on the processes of shaping public spaces. The chapter draws from the experiences of London to explore processes of the design, development, use, and management of public spaces during this period, many of which are likely to be applicable to other major cities that have shared an austerity mandate. The evidence suggests that we have witnessed a period of significant innovation side by side with major challenges in the collective approach to public spaces. Episodes of changing practice are used to illustrate the argument and cumulatively reveal a distinct and significant impact from austerity, although not necessarily in the manner that might have been expected.",,,,,,,,,,,,,RPS,Chapter
"Regulatory capitalism, the changing nature of urban planning and the limits of neoliberalism: Lessons from London’s South Bank","Regulatory capitalism, the changing nature of urban planning and the limits of neoliberalism","South bank (51.508, -0.11)",2017,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315576046-4/regulatory-capitalism-changing-nature-urban-planning-limits-neoliberalism-mike-raco-emma-street-sonia-freire-trigo,10.4324/9781315576046,"Raco M, Street E, Trigo SF",,"Emma Street, University of Reading, 51.441944, -0.945556","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This chapter analyzes the extent to which the practices of development reflect wider changes in modes of regulation and state organization. It argues that what we are seeing is a reconfiguration of state structures and the expansion of governance complexity. Much of the literature on urban planning has been dominated by writings on neoliberalism as a political project, a technology of governance and a class-driven politics of dispossession. The rolling out of regulatory capitalism brings with it a variety of implications for the governance of societies, and yet relatively little “is known about the increase in the degree of formalization and about the proliferation of regulatory technologies”. Land ownership arrangements in the South Bank area are also complex, and much of the land on the banks of the River Thames is owned privately by a combination of corporate and cultural institutions.",,,,,,,,,,,,,RPS,Chapter
Crossing the domestic threshold: LGBTQ-marketed tradespeople working in London’s homes,LGBTQ-marketed tradespeople working in London’s homes,London,2017,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003086666-17/crossing-domestic-threshold-lgbtq-marketed-tradespeople-working-london-homes-brent-pilkey,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003086666-17/crossing-domestic-threshold-lgbtq-marketed-tradespeople-working-london-homes-brent-pilkey,Pilkey BS,,,"Bartlett School of Architecture (51.525972,-0.132386)","The archetypal English home is a secluded space, where its architecture, including walls, fences, gates and even thick hedges, adds privacy to the domestic performance. Upon embarking on a large project investigating LGBTQ domesticity in London, United Kingdom, it seemed imperative to find creative ways to gain an insider's view of home - to cross the threshold of the front door and gain a deeper understanding of private domestic space. The process revealed that it is problematic to think of identity playing out at home in a structural binary, which falsely imagines an authentic back stage that a researcher is challenged to access. Keeping in mind the diversity of humanity generally, and the LGBTQ community specifically, as well as that not all non-heterosexual households would patronize this trade niche, it is difficult to draw generalizations of the homes these tradespeople visit.",,,,,,,,,,,,,RPS,Chapter
Der Londoner Stadtteil Barbican Estate,Der Londoner Stadtteil Barbican Estate,"Barbican Estate (51.519167, -0.093889)",2016,https://www.academia.edu/36003164/Der_Londoner_Stadtteil_Barbican_Estate,https://www.academia.edu/36003164/Der_Londoner_Stadtteil_Barbican_Estate,Branscome EM,,,"Bartlett School of Architecture (51.525972,-0.132386)","The Barbican Estate in London was listed at Grade II on 5 September 2001. This was not without controversy or complexities. Listed Building Management Guidelines were put into place in order to deal with the implications for the residents of this megastructure, as well as the planning department. This essay was produced as part of the Research Project 'Die Erhaltung der Stadt des 20. Jahrhunderts. Baugeschichte - Denkmalpflege - Stadtentwicklung' lead by Professor Vittorio Magnago Lampugnani together with Konstanze Sylva Domhardt.",,,,,,,,,,,,,RPS,Chapter
"Privatisation, managerialism and the changing politics of sustainability planning in London","Privatisation, managerialism and the changing politics of sustainability planning",London,2014,https://www.researchgate.net/publication/300587969_Privatisation_managerialism_and_the_changing_politics_of_sustainability_planning_in_London,https://www.researchgate.net/publication/300587969_Privatisation_managerialism_and_the_changing_politics_of_sustainability_planning_in_London,Raco M,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This chapter examines the relationships between governance capacities in London and future planning practices in the wake of economic austerity agendas. It describes the complex public-private sector entanglements that now exist in the city and the legacies left by earlier rounds of reform that have seen the wide-scale privatisation of welfare assets and services. It discusses the structural limitations that privatisation and private financing have placed on state capacities, and the broader implications of change for the future governance and management of London. It concludes with some reflections on wider understandings of localism, and the importance of asset ownership and management to the future of London's sustainability.",,,,,,,,,,,,,RPS,Chapter
Delivering Brownfield Regeneration: Sustainable Community-Building in London and Manchester,Delivering Brownfield Regeneration,London,2008,https://www.researchgate.net/publication/279420885_Delivering_Brownfield_Regeneration_Sustainable_Community-Building_in_London_and_Manchester,10.1002/9780470692110.ch6,"Raco M, Henderson S, Bowlby S",,"Sophia Bowlby, University of Reading, 51.441944, -0.945556","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","IntroductionBuilding for the Future: Visions, Practices and the Delivery of Sustainable Urban RegenerationFlagship Urban Brownfield Regeneration in the UK: The Redevelopment of Salford Quays and Paddington BasinConclusions: lessons for urban development policyReferences",,,,,,,,,,,,,RPS,Chapter
"The London Riots –1: Epidemiology, Spatial Interaction and Probability of Arrest",The London Riots,London,2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118937426.ch9,https://onlinelibrary.wiley.com/doi/10.1002/9781118937426.ch9,"Bishop SR, Davies TP, Fry H, Wilson A","Alan G Wilson, Alan Turing Institute, 51.529444, -0.126944",,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","Motivated by the events in London in 2011, one have presented a model of civil disorder which is able to replicate the general features of that outbreak. Recent advances in the modelling of large-scale social systems using techniques of complexity science mean this is now a viable approach, and indeed its potential has been demonstrated in such fields as epidemic modelling, crowd control and infrastructure resilience. The chapter describes a model which incorporates several phases of riot development: a contagious process of involvement, a choice stage and an interaction between participants and police. It develops a mathematical model with the spatial and temporal patterns of the events in London. The model can be divided into three components: an epidemiological model for riot participation, a spatial interaction model (SIM) for the spatial allocation of rioters and police and a model for interaction between rioters and police previously applied in the context of civil violence.",,,,,,,,,,,,,RPS,Chapter
Make Public: Performing public housing in Ernő Goldfinger’s Balfron Tower,Performing public housing in Balfron Tower,"Balfron Tower (51.513639, -0.008806)",2017,https://discovery.ucl.ac.uk/id/eprint/10057292/1/David%20Roberts%20Make%20Public.pdf,https://discovery.ucl.ac.uk/id/eprint/10057292/1/David%20Roberts%20Make%20Public.pdf,Roberts D,,,"Bartlett School of Architecture (51.525972,-0.132386)","To ‘make public’ expresses three aims that have driven my doctoral research into the past and future of east London housing estates undergoing regeneration; materially – to protect public housing provision at a time when austerity measures are dismantling it in ideal and form; procedurally – to make visible problematic processes of urban change that are increasingly hidden from public view; and methodologically – to make public my act of research through intimate and sustained collaboration with residents on site. This research document focuses on Balfron Tower, a high-rise of 146 flats and maisonettes arranged on 26 storeys built in 1965-7, the first phase of émigré architect Ernő Goldfinger’s work on the Greater London Council’s (GLC) Brownfield Estate in Poplar.",,,,,,,,,,,,,RPS,Chapter
Environmental and Behavioral Factors Affecting Residential Air Conditioning Use in Athens and London,Environmental and Behavioral Factors Affecting Residential Air Conditioning Use ,London,2011,https://link.springer.com/chapter/10.1007/978-1-4419-0745-5_7,10.1007/978-1-4419-0745-5_7,"Chatzidiakou L, Pathan A, Summerfield A, Mumovic D",,,UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR),"The recent extremely hot summers in Europe have seen a rapidly expanding market in mechanical cooling in dwellings, especially in big cities. Along with urban climate factors, a number of behavioral factors are further contributing to a significant rise in cooling demand across the EU including countries with a more moderate climate, such as the UK. This chapter investigates environmental and behavioral factors affecting residential air conditioning use in two large EU cities with different climates – Athens and London. This scoping study analyses carbon and health implications of increasing cooling demand, and identifies important physical attributes and occupants’ behavioral patterns that affect air conditioning use, as well as, typical operational temperatures and schedules. The high satisfaction with domestic air conditioning units highlighted in both studies suggests that in the foreseeable future with changing climate the UK may experience a similar increase in market penetration of domestic air conditioning as has occurred in Greece over the last 20 years. This might have a major impact on the summer electricity load and domestic sector carbon emissions in the UK, which already accounts for almost 30% of the UK building stock emission.",,,,,,,,,,,,,RPS,Chapter
"Regulatory capitalism, the changing nature of urban planning and the limits of neoliberalism Lessons from London's South Bank","Regulatory capitalism, the changing nature of urban planning and the limits of neoliberalism","South Bank (51.508, -0.11)",2017,http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000466923300004&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=f41074198c063036414efcbc916f8956,10.4324/9781315576046,"Raco M, Street E, Trigo SF",,"Emma Street, University of Reading, 51.441944, -0.945556","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This chapter analyzes the extent to which the practices of development reflect wider changes in modes of regulation and state organization. It argues that what we are seeing is a reconfiguration of state structures and the expansion of governance complexity. Much of the literature on urban planning has been dominated by writings on neoliberalism as a political project, a technology of governance and a class-driven politics of dispossession. The rolling out of regulatory capitalism brings with it a variety of implications for the governance of societies, and yet relatively little “is known about the increase in the degree of formalization and about the proliferation of regulatory technologies”. Land ownership arrangements in the South Bank area are also complex, and much of the land on the banks of the River Thames is owned privately by a combination of corporate and cultural institutions.",,,,,,,,,,,,,RPS,Chapter
Mediated spatial cultures: Place-making in London neighbourhoods with the aid of networked interactive urban screens,Place-making in London neighbourhoods with the aid of networked interactive urban screens,London,2016,https://uat.taylorfrancis.com/chapters/edit/10.4324/9781315610269-28/mediated-spatial-cultures-place-making-london-neighbourhoods-aid-networked-interactive-urban-screens-wallis-motta-ava-fatah-gen-schieck,,"Motta W, Fatah gen. Schieck A",,"Wallis Motta, University of Liverpool, 53.406, -2.967","Bartlett School of Architecture (51.525972,-0.132386)","In what follows we consider space as a socio-material and cultural construction; a site of flows and becoming, constantly produced and re-produced through myriad everyday practices (Thrift 2008, 20). Thrift, a proponent of non-representational theory conceptualises space as an emergent property of practice that occurs prior to conscious definitions. Hence, space is a site of open-ended possibilities, a non-discursive affordance to life in a given locale. Conversely, place is a more conscious and meaningful construction that people use to understand the space they live in. Although it is a complex construction in its own right, ‘a constellation of processes rather than a thing’ (Massey 2005, 141), place is distinguished by including social narratives and meanings. The concept of place, therefore, extends beyond non-reflexive practices and material flows, incorporating instead purposeful social action in the form of political activities, values, norms, memories, stories and histories. This interplay between spatial materialities, socialities and culture, which transforms a generic space into a culturally charged place, is conventionally known as place-making. Place-making activities occur when we make efforts to define, understand, experience, navigate, utilise, modify or regulate what is happening in and with space. Therefore, place-making activities bridge between space and place. They draw on the mundane practices that serve to extend or maintain local social networks through face-to-face interaction, in addition to more purposive efforts to build a sense of place and belonging. Place-making then, is about the production of locality:  the set of processes that communities used to build a sense of place out of space (Appadurai 1996; Feld and Baso 1996). It involves turning a seemingly generic, ambiguous, unruly or ‘fuzzy’ site of spatial possibility into a more meaningful and social entity, where we recognise ourselves in relation to others.",,,,,,,,,,,,,RPS,Chapter
Gottfried Semper and the Globalising of the London Building World in the 1850s,Gottfried Semper and the Globalising of the London Building World,London,2012,https://www.share.usi.ch/arc/semper_in_london.pdf,https://www.share.usi.ch/arc/semper_in_london.pdf,Fraser M,,,"Bartlett School of Architecture (51.525972,-0.132386)",,,,,,,,,,,,,,RPS,Chapter
