Theme (KEF Themes),Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London,Date,Link,Identification- DOI/URL/ISBN/Reference no.,Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Partnership,Policy Sources////Citations ( from Overton),Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes),Funder 1,Funder 2,Funder 3,Source,Type of Work (phD/masters),Column,Column2,Column3,Column4,Column5,Column6,Column7
Research partnerships,Developing a meta-model for early-stage overheating risk assessment for new apartments in London,Developing a meta-model for early-stage overheating risk assessment for new apartments,Greater London,"Saturday, 1 January 2022",https://discovery.ucl.ac.uk/id/eprint/10150721/,https://doi.org/10.1016/j.enbuild.2021.111586,Andrea Bott|Matthew Leach|Mark Lawson |Natalia Selini Hadjidimitriou,,"Matthew Leach
Mark Lawson 
Centre for Environment and Sustainability, University of Surrey, Guildford, Surrey GU27XH, UK (51.242747518247356, -0.5878363595476802)

Natalia Selini Hadjidimitriou
University of Modena and Reggio Emilia, via Amendola 2, 42122 Reggio Emilia, Italy (44.68791549011657, 10.668566869096823)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"The study presents a proposed approach towards developing the core engine for a simplified Rapid Overheating ASSessment Tool (ROASST), which is intended to help assist early-stage analysis of the risks of indoor overheating for apartments located in Greater London. Using a discrete number of plan forms selected from case studies, a virtual risk database was populated with the results of a large number of parametric dynamic thermal simulations based on the EnergyPlus calculation engine and including aspects such as location within Greater London, orientation, fenestration size and natural ventilation, which are associated with known overheating risk factors. Alternative statistical meta-models were developed with both explanatory and predictive purposes, correlating the simulation input with the overheating risk predictions expressed according to multiple metrics. Results from multiple linear regression analysis show that while all factors considered are relevant towards determining the propensity to overheating, window opening and natural ventilation capacity are by far the strongest predictors among those considered. The implementation of machine learning algorithms is shown to improve the accuracy of the meta-model, producing very high coefficients of determination (R2) and lower prediction errors (RMSE). The development of a meta-model demonstrates the ability of returning accurate predictions with limited input, albeit with significant limitations. Possibilities of further improvements to the tool are briefly outlined, including the coupling with a User Interface for applicability in a design environment for early-stage design advice.",PRP |,"51.5464594,-0.0411046
",Collaborators,,,Collaborators,Co-authorship with other partner(s),,,Construction and Engineering,Engineering & Physical Sciences Research Council (EPSRC),,,Discovery,,,,,,,,
Working with the public and third sector,"Indoor soundscapes at home during the COVID-19 lockdown in London – Part II: A structural equation model for comfort, content, and well-being",The Impact of Indoor Soundscapes on Comfort and Well-being,London,"Wednesday, 8 September 2021",https://discovery.ucl.ac.uk/id/eprint/10134135/,https://doi.org/10.1016/j.apacoust.2021.108379,Simone Torresin|Francesco Aletta|Rossano Albatici |Francesco Babich |Tin Oberman |Jian Kang |Agnieszka Elzbieta Stawinoga ,,"Simone Torresin
Francesco Aletta
Department of Civil Environmental and Mechanical Engineering, University of Trento, Via Mesiano, 77, 38123 Trento TN, Italy (46.064864006308504, 11.138899896122323)

Simone Torresin
Francesco Babich 
Agnieszka Elzbieta Stawinoga
Eurac Research, Bozen/Bolzano, Italy (46.494697518616675, 11.347396342159644)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"The present work constitutes the sequel to the analysis of data from an online survey administered to 464 home workers in London in January 2021 during the COVID-19 lockdown. Perceived affective quality of indoor soundscapes has been assessed in the survey through a previously developed model, as the combination of two perceptual dimensions, one related to comfort (a comfortable – annoying continuum) and the other to content (a full of content – empty continuum). Part I of the study reported on differences in comfort, content, and soundscape appropriateness based on the activity performed at home during the lockdown, i.e. working from home (WFH) and relaxation. Moreover, associations between soundscape dimensions and psychological well-being have been highlighted. Part II of the study deals with the exploration of the influences of several acoustical, building, urban and person-related factors on soundscape dimensions and well-being. A mixed-method approach has been adopted by combining multivariate regression of questionnaire scores with the qualitative analysis of spontaneous descriptions given by respondents. Results showed that several sound sources, urban features, housing characteristics, working modes and demographic factors can influence (positively and negatively) soundscape dimensions differently depending on the task at hand. Notably, the perceived dominance of neighbours’ noises during relaxation, moderated by noise sensitivity, and the number of people at home were common factors negatively affecting both comfort and well-being, that partially explained the association between comfortable indoor soundscapes and better mental health. The discussion points out the importance of considering the different impacts that acoustical factors (e.g. sound typology), building (e.g., house size), urban (e.g., availability of a quiet side), situational (e.g., number of people at home), and person-related factors (e.g., noise sensitivity) can provide on building occupants depending on the specific activity people are engaged with at home and the opportunities to foster people’s well-being through building, urban and acoustic design.",Adult participants via Prolific participant pool,London,Data / questionnaire / method,,,Anonymous Public Engagement,Co-authorship with other partner(s),,,Health,Chartered Institution of Building Services Engineers (CIBSE),European Research Council (ERC),,Discovery,,,,,,,,
Working with the public and third sector,London taxi drivers: A review of neurocognitive studies and an exploration of how they build their cognitive map of London,Taxi drivers' cognitive map of London,"Charing Cross (51.5074975,-0.1236888)","Wednesday, 1 December 2021",https://discovery.ucl.ac.uk/id/eprint/10141233/,10.1002/hipo.23395,Eva Griesbauer |Ed Manley |Jan Malte Wiener|Hugo J Spiers ,"Eva Griesbauer and Hugo J Spiers 
Department of Experimental Psychology, Division of Psychology and Language Sciences, Institute of Behavioural Neuroscience, University College London, 26 Bedford Way, London WC1H 0AP (51.52415840435603, -0.12892395769084228)

Ed Manley
The Alan Turing Institute, British Library, 96 Euston Rd., London NW1 2DB (51.52942966641486, -0.1275945172096855)","Jan Malte Wiener
Department of Psychology, Ageing and Dementia Research Centre, Bournemouth University, Fern Barrow, Poole BH12 5BB (50.74359164117267, -1.8984133037402662)

Ed Manley
School of Geography, University of Leeds, Seminary St, Woodhouse, Leeds LS2 9JT (53.80636741831759, -1.555455581290279)","Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","Licensed London taxi drivers have been found to show changes in the gray matter density of their hippocampus over the course of training and decades of navigation in London (UK). This has been linked to their learning and using of the “Knowledge of London,” the names and layout of over 26,000 streets and thousands of points of interest in London. Here we review past behavioral and neuroimaging studies of London taxi drivers, covering the structural differences in hippocampal gray matter density and brain dynamics associated with navigating London. We examine the process by which they learn the layout of London, detailing the key learning steps: systematic study of maps, travel on selected overlapping routes, the mental visualization of places and the optimal use of subgoals. Our analysis provides the first map of the street network covered by the routes used to learn the network, allowing insight into where there are gaps in this network. The methods described could be widely applied to aid spatial learning in the general population and may provide insights for artificial intelligence systems to efficiently learn new environments.",,,,,,Co-authorship with other partner(s),Co-authorship with academic partner(s),,,Social Sciences and Humanities,Engineering & Physical Sciences Research Council (EPSRC),Ordnance Survey,,Discovery,,,,,,,,
,What determines a boundary for navigating a complex street network: evidence from London taxi drivers,What determines a boundary for navigating a complex street network,"West End (51.51344680786133,-0.08323675394058228)
City of London (51.5156177,-0.0919983)
Camden (51.53084960043018,-0.1247459020310937)
St Pancras (51.5259149,-0.1290973)
Chelsea (51.4875167,-0.1687007)
Fulham (51.4744221,-0.2060772)","Wednesday, 6 October 2021",https://discovery.ucl.ac.uk/id/eprint/10169289/,https://doi.org/10.1017/S0373463321000679 ,|Eva-Maria Griesbauer|Ed Manley|Daniel McNamee|Jeremy Morley|Hugo Spiers,,"Ed Manley
School of Geography, University of Leeds, Seminary St, Woodhouse, Leeds LS2 9JT (53.80636741831759, -1.555455581290279)","Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","Spatial boundaries play an important role in defining spaces, structuring memory and supporting planning during navigation. Recent models of hierarchical route planning use boundaries to plan efficiently first across regions and then within regions. However, it remains unclear which structures (e.g. parks, rivers, major streets, etc.) will form salient boundaries in real-world cities. This study tested licensed London taxi drivers, who are unique in their ability to navigate London flexibly without physical navigation aids. They were asked to indicate streets they considered as boundaries for London districts or dividing areas. It was found that agreement on boundary streets varied considerably, from some boundaries providing almost no consensus to some boundaries consistently noted as boundaries. Examining the properties of the streets revealed that a key factor in the consistent boundaries was the near rectilinear nature of the designated region (e.g. Mayfair and Soho) and the distinctiveness of parks (e.g. Regent's Park). Surprisingly, the River Thames was not consistently considered as a boundary. These findings provide insight into types of environmental features that lead to the perception of explicit boundaries in large-scale urban space. Because route planning models assume that boundaries are used to segregate the space for efficient planning, these results help make predictions of the likely planning demands of different routes in such complex large-scale street networks. Such predictions could be used to highlight information used for navigation guidance applications to enable more efficient hierarchical planning and learning of large-scale environments.",Jeremy Morley,"
Ordnance Survey 
50.938114,-1.470628",Research Support and co-authorship,,,Data support,Co-authorship with other partner(s),,,Social Sciences and Humanities,Engineering & Physical Sciences Research Council (EPSRC),Ordnance Survey,,Discovery,,,,,,,,
Research partnerships,Documenting the ‘soft spaces’ of London planning: Opportunity Areas as institutional fix in a growth-oriented city,Documenting the ‘soft spaces’ of London planning,London,"Tuesday, 6 April 2021",https://discovery.ucl.ac.uk/id/eprint/10126839/1/Documenting%20the%20soft%20spaces%20of%20London%20planning%20Opportunity%20Areas%20as%20institutional%20fix%20in%20a%20growth%20oriented%20city.pdf,https://doi.org/10.1080/00343404.2021.1902976,Jessica Ferm|Sonia Freire Trigo|Niamh Moore-Cherry ,,"Niamh Moore-Cherry
School of Geography and Earth Institute, University College Dublin, Belfield, Dublin 4, Ireland (53.309867800004696, -6.221546786469968)","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","The concentration of economic growth into large metropolises is widely documented across Europe. Yet, planning of this growth at the strategic metropolitan scale shows significant variation. This paper documents the evolution of Opportunity Areas within Greater London. Through statistical and documentary analysis, and participant observation, we reveal how they have been repurposed from a tool employed to facilitate brownfield regeneration to one that sustains growth through brokering relationships, enhancing land value and capturing it. The paper argues that the cumulative impact of these ‘soft spaces’ of planning represents a fundamental change in the nature of strategic planning for city-regions.",Just Space ,https://ucljustspace.wordpress.com,Research Partnership,,,Research support,Co-authorship with other partner(s),,,Planning and Policy,,,,Discovery,,,,,,,,
,"The political economy of streetspace reallocation projects: Aldgate Square and Bank Junction, London",The political economy of streetspace reallocation projects,"Aldgate Square (51.5139777,-0.0767169)

Bank Station (51.5134288,-0.088689)","Thursday, 3 February 2022",https://discovery.ucl.ac.uk/id/eprint/10143062/1/Hickman_The%20political%20economy%20of%20streetspace%20reallocation%20projects%20Aldgate%20Square%20and%20Bank%20Junction%20London.pdf,https://doi.org/10.1080/13574809.2022.2033113,Robin Hickman|Katy Huaylla Sallo ,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","Streetspace reallocation projects are often difficult to plan and implement, attracting great controversy with residents and other actors. This paper considers two streetspace reallocation projects, in Aldgate Square and Bank Junction, London. 15 in-depth interviews are used to explore the competing discourses on each project. The analysis covers the different viewpoints on perceived problems and opportunities, project impacts and effectiveness, distribution of benefits, technical assessment, participatory processes and the resulting sanctioned discourse. Using NVivo software, it examines the language used by the different actors in the process.",,,,IGO,Asian Development Bank,,,,,Planning and Policy,,,,Discovery,,,,,,,,
,"Tracing high street centralities through spatial-morphological continuities from the past: The case of Islington, London",Tracing high street centralities ,"Islington (51.5237038,-0.0986838)","Saturday, 1 January 2022",https://discovery.ucl.ac.uk/id/eprint/10145926/,https://www.researchgate.net/publication/362944224_Tracing_high_street_centralities_through_spatial-morphological_continuities_from_the_past_The_case_of_Islington_London,Laura Vaughan|Sam Griffiths|Falli Palaiologou ,,"Falli Palaiologou
School of Architecture, Building and Civil Engineering, Loughborough University (52.763010231172714, -1.2407362883354986)","Bartlett School of Architecture (51.525972,-0.132386)","This paper builds on the authors’ previous research into movement economy theory to explore Hillier’s theory of centrality as a ‘process’. The case study is Islington, one of London’s nineteenth-century high streets, it is an example of the many cases in London where we can find spatial continuities from the past to the present. This continuity raises several questions regarding the role of street network configuration and built form adaptability in supporting the long-term socio-economic sustainability of such places. Using contemporaneous maps, including Goad fire insurance plans and the maps and notebooks of Charles Booth’s poverty survey, we analyse street network configuration, building properties (size and height) and use to explore centrality as an historical process. We find that different sections of the town centre have varying spatial properties that work to support a finely-grained diversity of land use characteristics rather than a clustering of any particular category. We argue that it is the potential of urban centres to sustain such diversity that is essential to understanding their historical endurance.",,,,,,Co-authorship with other partner(s),,,,Social Sciences and Humanities,,,,Discovery,,,,,,,,
,"Improving indoor thermal comfort, air quality and the health of older adults through environmental policies in London","Improving indoor thermal comfort, air quality and the health of older adults",Greater London ,"Monday, 1 November 2021",https://discovery.ucl.ac.uk/id/eprint/10141105/,10.1088/1742-6596/2069/1/012240,Ioanna Tsoulou |Jonathon Taylor |P Symonds |Nahid Mohajeri |Michael Davies ,,"Jonathon Taylor 
Department of Civil Engineering, Tampere University, Korkeakoulunkatu 7 Kampusareena, 33720 Tampere, Finland (61.44992087259666, 23.859513582565793)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"In this work we evaluate the potential of selected environmental strategies in reducing air pollution and summertime indoor overheating. Associated changes in mortality rates are also calculated for older adults in London. Reducing these risks for vulnerable groups is an immediate priority and given that seniors spend most of their time indoors, our focus is on strategies that prioritize the transformation of residential environments for indoor thermal comfort and air quality improvements. For each strategy, we develop specific scenarios related to building adaptations and test potential reductions on indoor overheating and pollutant exposures from outdoor sources (PM2.5), as well as on senior mortality through the CRAFT tool (Cities Rapid Assessment Framework for Transformation). We then pick the scenarios with highest impacts on mortality, aiming to formulate effective policy recommendations for Greater London. Preliminary results suggest that environmental policies related to the installation of shading could have the highest reduction in heat and pollution-related senior mortality, followed by moderate effects due to building insulation retrofits and the greening of roofs. With an increasing ageing population in the UK and beyond, our work highlights the need for city-level policies to address building modifications, considering the importance of indoor spaces for older adults.",,,,Government,The UK Government,Co-authorship with other partner(s),,,,Health,,,,Discovery,,,,,,,,
Research partnerships,Monitoring and modelling the risk of summertime overheating and passive solutions to avoid active cooling in London care homes,Summertime overheating and passive solutions to avoid active cooling,London,"Monday, 30 August 2021",https://discovery.ucl.ac.uk/id/eprint/10135382/,https://doi.org/10.1016/j.enbuild.2021.111418,Rajat Gupta|Alastair Howard |Mike Davies |Anna Mavrogianni |Ioanna Tsoulou |Nishesh Jain |Eleni Oikkonomou |Paul Wilkinson ,"Paul Wilkinson 
Public Health, Environments and Society, London School of Hygiene & Tropical Medicine, London, UK
(51.520925,-0.130687)","Rajat Gupta
Alastair Howard 
Low Carbon Building Research Group, School of Architecture, Oxford Brookes University, Headington Rd, Headington, Oxford OX3 0BP (51.75506260978898, -1.2242334060592617)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"Summertime overheating in care settings has been identified as a key risk and research priority for the health and social care system. This paper examines the current and future risk of summertime overheating in two London-based care homes occupying modern and older buildings. Continuous monitoring of outdoor and indoor temperature in bedrooms, communal areas and offices in summer 2019 helped to establish the prevalence and intensity of overheating. Dynamic thermal simulation (EnergyPlusV8.9) of the two care settings assessed the potential for avoiding active cooling in future climate using passive solutions. In both care settings, indoor temperatures were observed to exceed 30 °C during daytime hours, significantly higher than the recommended 26 °C threshold of Public Health England. Although severity of overheating was lower in the older building, overheating was found to be prevalent and prolonged across both care settings with bedroom temperatures higher than lounges especially at night. Thermal simulation analysis showed that, with regards to temperature reduction and cooling load, nighttime ventilation was the single most effective passive solution for both buildings for the current climate, while a combination of night ventilation, external shading and high-albedo external walls was the most effective package solution. By the 2080s, air-conditioning was the most effective solution for reducing temperature, but also had the highest cooling load, highlighting the importance of balancing passive with active measures to improve thermal comfort and reduce cooling loads.",Paul Wilkinson ,"Public Health, Environments and Society, London School of Hygiene & Tropical Medicine, London, UK
(51.520925,-0.130687)",Co-authorship with academic partner(s),Government and think tank,Legislative Research and University affiliated ,Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Social Sciences and Humanities,Natural Environment Research Council (NERC),DesignBuilder Software Ltd,Innovate UK,Discovery,,,,,,,,
Research partnerships,"Financing urban development, three business models: Johannesburg, Shanghai and London",Financing urban development,"Ealing (51.5126553,-0.3051952)

Brent (51.5767595,-0.2183801)

Hammersmith and Fulham (51.4930419921875,-0.2244289070367813)","Wednesday, 7 October 2020",https://discovery.ucl.ac.uk/id/eprint/10109248/,10.1016/j.progress.2020.100513,Jennifer Robinson |Philip Harrison|Jie Shen |Fulong Wu ,"Jennifer Robinson
Department of Geography, University College London (51.523919,-0.12895)","Philip Harrison
University of the Witwatersrand, 1 Jan Smuts Ave, Braamfontein, Johannesburg, 2017, South Africa (-26.192766505762286, 28.031090827875076)

Jie Shen
School of Social Development and Public Policy, Fudan University, 220 Handan Rd, Yangpu District, Shanghai, China, 200437 (32.96897254331799, 120.97133517841866)
","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","There has been growing interest in the expansion of global investment in urban areas, and the financialisation of urban development, both of which bring new business logics into the production of the built environment and shape urban outcomes. At the same time, mega urban projects have continued and spread as a significant format of urban expansion and renewal, often strongly linked to transnational investors and developers. Nonetheless, the distinctive regulatory and political contexts within which transnational actors must bring such projects to fruition matter greatly to outcomes, with territorialised governance arrangements both shaping and being shaped by transnational dynamics. However, there has been little systematic comparative consideration of these diverse regulatory contexts in their own right, rather than as contributors to wider circulating processes such as neoliberalisation. As a result, the implications of different regulatory regimes for urban outcomes have not been effectively assessed. In this paper we therefore broaden the discussion from globalised processes of “financialisation” to consider three large-scale urban development projects from the perspective of their distinctive “business models”, including their place in achieving wider strategic objectives at national and metropolitan scales, their agile and often bespoke institutional configurations, and their different forms of financing, taxation and land value capture. Our cases are Lingang, Shanghai (one of nine planned satellite cities), the Corridors of Freedom project in Johannesburg (a linear transport oriented development seeking to integrate the racially divided city), and Old Oak and Park Royal in north-west London (under a mayoral development corporation, associated with significant new metropolitan and national transport investments). We observe that the business models adopted, notably in relation to financial calculations and income streams associated with the developments, are a result of strongly path dependent formats of governance and income generation in each case. However we want to move beyond seeing these as residual, as contingent and contextual to wider accounts of urban development focussed on globalised financial flows and calculations. Using a comparative approach we initiate a systematic analytical conversation about the implications of different business models for the form and socio-economic potential of mega-urban development projects.",1. Sharon Hayward from London Tenants’ Federation|2. Robin Brown and other at Just Space|3. Grand Union Alliance and Old Oak Forum |,,Research Partnership,,,Research support,Co-authorship with academic partner(s),Co-authorship with other partner(s),,Health,,,,Discovery,,,,,,,,
,"Indoor soundscapes at home during the COVID-19 lockdown in London – Part I: Associations between the perception of the acoustic environment, occupantś activity and well-being",Indoor soundscapes at home during the COVID-19 lockdown,London ,"Tuesday, 20 July 2021",https://www.sciencedirect.com/science/article/pii/S0003682X21003996,https://doi.org/10.1016/j.apacoust.2021.108305,Simone Torresin |Rossano Albatici|Franceso Aletta|Francesco Babich|Tin Oberman |Agnieszka Elzbieta Stawinoga |Jian Kang ,,"Simone Torresin
Francesco Aletta
Department of Civil Environmental and Mechanical Engineering, University of Trento, Via Mesiano, 77, 38123 Trento TN, Italy (46.064864006308504, 11.138899896122323)

Simone Torresin
Francesco Babich 
Agnieszka Elzbieta Stawinoga
Eurac Research, Bozen/Bolzano, Italy (46.494697518616675, 11.347396342159644)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"Since the outbreak of the COVID-19 pandemic, as a result of the adoption of worldwide lockdown measures, the home environment has become the place where all the daily activities are taking place for many people. In these changed social and acoustical contexts, we wanted to evaluate the perception of the indoor acoustic environment in relation to traditional and new activities performed at home, i.e., relaxation, and working from home (WFH). Taking London as a case study, the present paper presents the results of an online survey administered to 464 home workers in January 2021. The survey utilized a previously developed model for the assessment of indoor soundscapes to describe the affective responses to the acoustic environments in a perceptual space defined by comfort (i.e. how comfortable or annoying the environment was judged) and content (i.e., how saturated the environment is with events and sounds) dimensions. A mixed-method approach was adopted to reinforce result validity by triangulating data from questionnaires and spontaneous descriptions given by participants. In this first part of the study, the main objectives were: (1) evaluating differences in soundscape evaluation, in terms of comfort and content dimensions, based on the activity performed at home, (2) identifying appropriate conditions for WFH and relaxation, and (3) investigating associations between psychological well-being and indoor soundscapes. The results showed that the environments were perceived as more comfortable and slightly fuller of content when rated in relation to relaxation than for WFH, thus suggesting a stricter evaluation of the acoustic environment in the latter case. As regards the second objective, spaces that were more appropriate for relaxation had high comfort, whereas spaces appropriate for WFH resulted more private and under control, i.e. with high comfort and low content scores. Lastly, better psychological well-being was associated with more comfortable soundscapes, both for WFH (rs = 0.346, p < .0005), and relaxation (rs = 0.353, p < .0005), and with lower content while WFH (rs = −0.133, p = .004). The discussion points out the need of considering the implications of changed working patterns to rethink the design of soundscapes in residential buildings, also in relation to potential well-being outcomes that will be further investigated in the Part II of the study.",,,,,,Co-authorship with other partner(s),Co-authorship with research organization(s),,,Health,Chartered Institution of Building Services Engineers (CIBSE),European Research Council (ERC),,Discovery,,,,,,,,
,"University College London: an architectural history, 1825–1939","UCL: an architectural history, 1825–1939","UCL main Campus (51.5072648,-0.1278328)","Sunday, 1 August 2021",https://discovery.ucl.ac.uk/id/eprint/10138589/,https://discovery.ucl.ac.uk/id/eprint/10138589/,Amy Louise Spencer ,,,"Bartlett School of Architecture (51.525972,-0.132386)","This thesis examines the architectural history of University College London (UCL) from its foundation to 1939. UCL traces its beginnings to 1825, when a group of radical thinkers set about establishing a secular, non-residential metropolitan university. Its first architectural expression was the grand neoclassical building constructed in 1827–9 to designs by William Wilkins. Only the central block, portico and dome of Wilkins’s scheme were completed, yet successive wing extensions gradually formed a neoclassical quadrangle in Gower Street. A hospital was built in 1833–4, securing space for clinical teaching. UCL was initially denied a charter and precluded from awarding degrees, a complication that was resolved by the creation of the University of London as a separate examining body in 1836. Over the next century, UCL and its hospital expanded in a gradual and piecemeal manner in line with advances in education, technology and healthcare. UCL’s estate became increasingly complex, with a mixture of purpose-built blocks and the adaptation of buildings in the vicinity. A wealth of archival records, along with documentary sources and field investigation, has been used to examine the historic core of UCL’s estate in Bloomsbury. Institutional identity and aspirations are analysed in concert with practical influences on building projects, such as finances and functionality. The matter of identity also arises in the attribution of buildings to specific architects, which points to a tradition of enlisting professors such as Thomas Leverton Donaldson, Thomas Hayter Lewis, Thomas Roger Smith, Frederick Moore Simpson and Albert Richardson. In practice, their work was informed by multiple voices such as committee members, academic staff, external consultants and benefactors. This research addresses significant gaps in knowledge of the buildings, planning and development of UCL, while considering issues of identity, attribution and methodology pertinent to the study of architectural history.",,,,,,,,,,Social Sciences and Humanities,,,,Discovery,PhD Thesis,,,,,,,
,Reducing emissions in London schools with photovoltaics,Reducing emissions with photovoltaics,London ,"Monday, 1 November 2021",https://discovery.ucl.ac.uk/id/eprint/10138793/1/Godoy-Shimizu_2021_J_Phys__Conf_Ser_2042_012099.pdf,10.1088/1742-6596/2042/1/012099,Daniel Godoy-Shimizu|Stephen Evans|Ivan Korolija|Dominic Humphrey|Sung-Min Hong|Gareth Simons|Yair Schwartz|Paul Ruyssevelt|Philip Steadman|Dejan Mumovic|Anna Mavrogianni,,,,"This paper examines the potential for PV to improve the performance of primary schools in London. Disaggregate data including energy use is compared with modelled PV generation, showing that electricity demand could theoretically be met in 59% of the schools investigated. The impact of several key factors is then considered, including architectural heritage, building age and form. The results show that the greatest PV potential exists in newer schools, as well as those that are shorter and with less dense forms.",,,,,,,,,,Sustainability,Greater London Authority (GLA),,,Discovery,,,,,,,,
Working with the public and third sector,Indoor air quality during lockdown: A monitoring-based simulation-assisted study in London,Indoor air quality during lockdown,"East London (51.5432402,-0.0493621)",,https://discovery.ucl.ac.uk/id/eprint/10168805/,10.26868/25222708.2021.30434,Farhang Tahmasebi|Elizabeth Cooper|Yan Wang|Daniel Godoy Shimizu|Samuel Stamp|Dejan Mumovic,,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","The Covid-19 outbreak has resulted in new patterns of home occupancy, the implications of which for indoor air quality (IAQ) and energy use are not well-known. In this context, the present study investigates 8 flats in London to uncover if during a lockdown, (a) IAQ in the monitored flats deteriorated, (b) the patterns of window operation by occupants changed, and (c) more effective ventilation patterns could enhance IAQ without significant increases in heating energy demand. To this end, one-year’s worth of monitored data on indoor and outdoor environment along with occupant use of windows has been used to analyse the impact of lockdown on IAQ. Moreover, using on-site CO2 data, monitored occupancy and operation of windows, the team has calibrated a thermal performance model of one of the flats to investigate the implications of alternative ventilation strategies. The results suggest that despite the extended occupancy during lockdown, occupants relied less on natural ventilation, which led to significantly higher CO2 and PM10 concentrations. However, simple natural ventilation patterns or use of mechanical ventilation with heat recovery proves to be very effective to maintain acceptable IAQ",Chartered Institution of Building Services Engineer (CIBSE),"CIBSE
222 Balham High Road
London
SW12 9BS
United Kingdom
(51.44258,-0.154379)",Research Support,,,Research support,,,,Health,Engineering & Physical Sciences Research Council (EPSRC),,,Discovery,,,,,,,,
,"Increases in noise complaints during the COVID-19 lockdown in Spring 2020: A case study in Greater London, UK",Increases in noise complaints during the COVID-19 lockdown,Greater London,"Wednesday, 21 April 2021",https://discovery.ucl.ac.uk/id/eprint/10128387/,https://doi.org/10.1016/j.scitotenv.2021.147213,Huan Tong|Francesco Aletta|Andrew Mitchell|Tin Oberman |Jian Kang ,,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","Many cities around the world have claimed that the enforcement of lockdown measures to contain the spread of COVID-19 and the corresponding limitations of human activities led to reduced environmental noise levels. However, noise complaints reported by many local authorities were on the rise soon after the local lockdowns came into force. This research took Greater London in the UK as a case study. The overall aim was examining how noise complaints changed during the first stages of the lockdown implementation, during Spring 2020, both locally and at city scale, and how urban factors may have been influencing them. Noise complaint and urban factor datasets from the Government's publicly available data warehouse were used. The results show that during the COVID-19 lockdown the number of noise complaints increased by 48%, compared with the same period during Spring 2019. In terms of noise sources, complaints about construction (36%) and neighbourhood (50%) noise showed significant increases. Urban factors, including housing and demographic factors, played a more significant role than the actual noise exposure to road and rail traffic noise, as derived from the London noise maps. In detail, the change rate of noise complaints was higher in areas with higher unemployment rates, more residents with no qualifications, and lower house price. It is expected that this study could help government with allocating resources more effectively and achieve a better urban environment.",,,,,,,,,,Health,European Research Council (ERC),,,Discovery,,,,,,,,
,"Participatory multi-criteria analysis methods: Comprehensive, inclusive, transparent and user-friendly? An application to the case of the London Gateway Port",Participatory multi-criteria analysis methods of the London Gateway Port,"London Gateway Port (51.510215872706944, 0.45969886754006295)","Friday, 14 August 2020",https://discovery.ucl.ac.uk/id/eprint/10108607/1/Dean_Participatory%20multi-criteria%20analysis%20methods-%20Comprehensive%2C%20inclusive%2C%20transparent%20and%20user-friendly%3F%20An%20application%20to%20the%20case%20of%20the%20London%20Gateway%20Port_AAM.pdf,https://doi.org/10.1016/j.retrec.2020.10088,M. Dean,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","The topic of how major transport projects should be assessed continues to generate disputes amongst academics, infrastructure specialists, investors and governments alike. Over the past decades, an increasing number of scholars have started to regard participatory multi-criteria analysis (MCA) as an approach capable of producing more comprehensive, transparent and democratic assessments than traditional appraisal techniques. However, whereas a number of participatory MCA methods have been devised, the large majority of them seem to have enjoyed limited practical application and there are very few studies examining their effectiveness. In order to assess the presumed benefits and the potential drawbacks of such methods, this paper considers the case of the London Gateway Port and compares the actual planning and decision-making process of this port development programme with the results of a multi-actor multi-criteria appraisal exercise, involving several project stakeholders and experts. As a result of this analysis, the paper contends that the contribution that participatory MCA procedures can potentially provide to the improvement of decision-making for large-scale transport infrastructure seems limited at best.",,,,,,,,,,Construction and Engineering,Engineering & Physical Sciences Research Council (EPSRC),,,Discovery,,,,,,,,
